Car_Type,Duration_Days,Total_Distance_km,Num_Passengers,Package_Level,Start_Region,Season_Index,Car_Age_Years,Total_Cost
Luxury,2,2878,3,Premium,Airport,1,1,3169.52
SUV,8,1244,5,Basic,City,3,6,1830.72
Hatchback,15,2054,4,Premium,Suburban,2,1,3365.21
Van,7,2703,8,Premium,City,2,9,3262.12
Hatchback,6,2758,5,VIP,Airport,2,1,3363.26
Hatchback,1,1697,8,Premium,City,3,6,2149.46
SUV,15,1640,9,Basic,City,1,1,2594.09
Hatchback,7,2946,4,VIP,Airport,1,7,3389.91
Mini Bus,17,1540,7,Basic,Airport,1,3,2704.63
Sedan,2,2725,2,VIP,City,1,6,3164.12
Luxury,9,192,6,VIP,Airport,1,7,1185.95
Sedan,9,1274,8,Premium,Airport,3,1,2299.55
Van,13,2811,7,Basic,Airport,2,1,3721.83
Luxury,6,2576,7,VIP,Airport,1,5,3319.3
Hatchback,6,614,8,Premium,Airport,2,6,1272.18
